author_type,url,floor,floors_count,rooms_count,total_meters,price,underground
real_estate_agent,https://www.cian.ru/sale/flat/307751775/,12,21,1,35.5,17000000.0,Электрозаводская
developer,https://www.cian.ru/sale/flat/306741744/,13,15,1,33.3,8977547.0,Ольховая
real_estate_agent,https://www.cian.ru/sale/flat/304787065/,79,97,1,73.0,72900000.0,Деловой центр
real_estate_agent,https://www.cian.ru/sale/flat/297371188/,14,17,1,30.5,7000000.0,Ватутинки
developer,https://www.cian.ru/sale/flat/306784515/,6,22,1,26.3,7942600.0,Прокшино
real_estate_agent,https://www.cian.ru/sale/flat/303387198/,18,22,1,30.0,11700000.0,Рассказовка
real_estate_agent,https://www.cian.ru/sale/flat/309005573/,4,9,1,32.2,8600000.0,Бибирево
developer,https://www.cian.ru/sale/flat/300605508/,2,19,1,39.8,9237580.0,
real_estate_agent,https://www.cian.ru/sale/flat/306021420/,23,27,1,38.4,15300000.0,Верхние Лихоборы
real_estate_agent,https://www.cian.ru/sale/flat/309237134/,9,9,1,31.0,13500000.0,Петровский Парк
developer,https://www.cian.ru/sale/flat/307207882/,12,20,1,32.9,8832384.0,Филатов Луг
real_estate_agent,https://www.cian.ru/sale/flat/307227130/,1,10,1,40.0,9990000.0,Жулебино
developer,https://www.cian.ru/sale/flat/309097264/,4,21,1,45.1,18927568.0,Павелецкая
developer,https://www.cian.ru/sale/flat/305099906/,11,47,1,41.11,19496106.0,Бутырская
real_estate_agent,https://www.cian.ru/sale/flat/301859610/,13,24,1,36.8,17750000.0,Верхние котлы
homeowner,https://www.cian.ru/sale/flat/308210015/,10,16,1,34.4,9200000.0,Медведково
developer,https://www.cian.ru/sale/flat/306728549/,22,23,1,25.3,9780398.0,Владыкино
real_estate_agent,https://www.cian.ru/sale/flat/304958596/,17,26,1,38.6,20460000.0,Авиамоторная
real_estate_agent,https://www.cian.ru/sale/flat/309220449/,8,10,1,60.0,18900000.0,Химки
developer,https://www.cian.ru/sale/flat/304449321/,16,75,1,43.4,26702284.0,Площадь Гагарина
real_estate_agent,https://www.cian.ru/sale/flat/307043068/,9,28,1,34.7,14500000.0,Бульвар Рокоссовского
real_estate_agent,https://www.cian.ru/sale/flat/306926249/,10,19,1,47.0,13000000.0,Зеленоград — Крюково
developer,https://www.cian.ru/sale/flat/300866343/,31,75,1,41.55,25963722.0,Площадь Гагарина
real_estate_agent,https://www.cian.ru/sale/flat/303256815/,14,16,1,34.6,14400000.0,Беговая
real_estate_agent,https://www.cian.ru/sale/flat/309205288/,2,12,1,31.05,9950000.0,Улица Академика Янгеля
developer,https://www.cian.ru/sale/flat/306728421/,12,23,1,22.7,8240280.0,Владыкино
real_estate_agent,https://www.cian.ru/sale/flat/304104195/,14,21,1,144.0,180000000.0,Улица 1905 года
real_estate_agent,https://www.cian.ru/sale/flat/309237132/,4,12,1,34.6,14999999.0,Октябрьское поле
developer,https://www.cian.ru/sale/flat/304054386/,2,23,1,40.0,9741600.0,Владыкино
real_estate_agent,https://www.cian.ru/sale/flat/306890063/,5,14,1,33.7,9800000.0,Ольховая
real_estate_agent,https://www.cian.ru/sale/flat/308853181/,17,19,1,44.4,8550000.0,Подрезково
developer,https://www.cian.ru/sale/flat/300866363/,32,75,1,47.56,28615282.0,Площадь Гагарина
real_estate_agent,https://www.cian.ru/sale/flat/308967173/,6,6,1,152.3,110000000.0,Белорусская
real_estate_agent,https://www.cian.ru/sale/flat/309244324/,17,17,1,38.0,8200000.0,Зеленоград — Крюково
developer,https://www.cian.ru/sale/flat/305914407/,11,28,1,46.6,21333480.0,Сокольники
homeowner,https://www.cian.ru/sale/flat/308735370/,5,17,1,42.0,10500000.0,Потапово
real_estate_agent,https://www.cian.ru/sale/flat/306015060/,9,10,1,32.3,13000000.0,Коптево
developer,https://www.cian.ru/sale/flat/305160468/,9,11,1,67.9,94890000.0,Белорусская
real_estate_agent,https://www.cian.ru/sale/flat/292945725/,2,11,1,49.3,58000000.0,Полянка
developer,https://www.cian.ru/sale/flat/298020354/,15,67,1,47.5,47500000.0,Москва-Сити
real_estate_agent,https://www.cian.ru/sale/flat/297558153/,18,22,1,43.0,19500000.0,Стрешнево
real_estate_agent,https://www.cian.ru/sale/flat/305507642/,6,9,1,31.6,8800000.0,Окская
real_estate_agent,https://www.cian.ru/sale/flat/306277521/,8,13,1,41.5,10500000.0,Пыхтино
real_estate_agent,https://www.cian.ru/sale/flat/309205317/,12,17,1,39.2,12000000.0,Крылатское
real_estate_agent,https://www.cian.ru/sale/flat/300890421/,7,40,1,43.4,20800000.0,ЗИЛ
real_estate_agent,https://www.cian.ru/sale/flat/308521707/,2,9,1,33.0,12500000.0,Пролетарская
developer,https://www.cian.ru/sale/flat/304842260/,15,34,1,45.9,30454650.0,Парк Победы
real_estate_agent,https://www.cian.ru/sale/flat/303818206/,5,17,1,50.2,34900000.0,Ленинский проспект
real_estate_agent,https://www.cian.ru/sale/flat/308760296/,1,9,1,32.9,8300000.0,Выхино
developer,https://www.cian.ru/sale/flat/308071520/,8,17,1,44.48,22574774.0,Преображенская площадь
real_estate_agent,https://www.cian.ru/sale/flat/304747343/,12,17,1,40.0,17500000.0,Технопарк
developer,https://www.cian.ru/sale/flat/297997304/,2,14,1,101.91,263335440.0,Киевская
developer,https://www.cian.ru/sale/flat/299379475/,13,17,1,33.1,11226150.0,Корниловская
real_estate_agent,https://www.cian.ru/sale/flat/296522785/,15,20,1,50.0,26000000.0,Аминьевская
real_estate_agent,https://www.cian.ru/sale/flat/308644121/,13,14,1,38.5,11800000.0,Верхние Лихоборы
developer,https://www.cian.ru/sale/flat/307196242/,7,25,1,45.5,22350419.0,Гражданская
real_estate_agent,https://www.cian.ru/sale/flat/305507224/,24,27,1,36.8,23000000.0,Авиамоторная
official_representative,https://www.cian.ru/sale/flat/309162669/,2,4,1,37.8,26271000.0,Цветной бульвар
developer,https://www.cian.ru/sale/flat/275396073/,3,22,1,52.6,35920540.0,Спартак
real_estate_agent,https://www.cian.ru/sale/flat/299455554/,3,45,1,37.7,26390000.0,Фили
realtor,https://www.cian.ru/sale/flat/307592059/,1,5,1,30.5,13600000.0,Филёвский парк
developer,https://www.cian.ru/sale/flat/304854215/,2,17,1,25.7,7565079.0,Корниловская
real_estate_agent,https://www.cian.ru/sale/flat/308951949/,40,63,1,51.0,57600000.0,Москва-Сити
real_estate_agent,https://www.cian.ru/sale/flat/308596405/,13,16,1,34.2,9300000.0,Тёплый Стан
developer,https://www.cian.ru/sale/flat/306342091/,2,10,1,73.5,180150000.0,Фрунзенская
real_estate_agent,https://www.cian.ru/sale/flat/306956530/,12,26,1,41.3,21200000.0,ЗИЛ
real_estate_agent,https://www.cian.ru/sale/flat/306522823/,2,18,1,54.3,31000000.0,Измайловская
developer,https://www.cian.ru/sale/flat/301934977/,2,17,1,38.8,11359160.0,Корниловская
real_estate_agent,https://www.cian.ru/sale/flat/308418748/,18,18,1,41.1,10800000.0,Потапово
realtor,https://www.cian.ru/sale/flat/307458577/,6,9,1,33.0,11000000.0,Университет Дружбы Народов
developer,https://www.cian.ru/sale/flat/301551752/,30,57,1,43.9,20229120.0,Беломорская
real_estate_agent,https://www.cian.ru/sale/flat/308257839/,12,17,1,31.1,8170000.0,Ботанический сад
real_estate_agent,https://www.cian.ru/sale/flat/296956787/,2,2,1,15.1,8300000.0,Курская
developer,https://www.cian.ru/sale/flat/303148974/,3,36,1,37.13,24254244.0,Дмитровская
real_estate_agent,https://www.cian.ru/sale/flat/308908885/,6,8,1,38.0,46500000.0,Китай-город
real_estate_agent,https://www.cian.ru/sale/flat/306460306/,4,13,1,71.3,88000000.0,Спортивная
developer,https://www.cian.ru/sale/flat/308071096/,5,16,1,44.71,21431496.0,Преображенская площадь
real_estate_agent,https://www.cian.ru/sale/flat/308205894/,2,23,1,55.0,15500000.0,Новогиреево
realtor,https://www.cian.ru/sale/flat/306602662/,4,23,1,41.8,19850000.0,Ботанический сад
developer,https://www.cian.ru/sale/flat/306155229/,4,23,1,56.6,64460000.0,Улица 1905 года
real_estate_agent,https://www.cian.ru/sale/flat/308561151/,3,16,1,34.5,14000000.0,Савёловская
real_estate_agent,https://www.cian.ru/sale/flat/308398744/,7,26,1,31.1,21700000.0,Нагатинская
developer,https://www.cian.ru/sale/flat/308620531/,26,28,1,44.38,29580000.0,Бутырская
real_estate_agent,https://www.cian.ru/sale/flat/307496200/,1,10,1,31.0,14500000.0,Ломоносовский проспект
real_estate_agent,https://www.cian.ru/sale/flat/307780615/,2,25,1,33.5,10200000.0,Депо
developer,https://www.cian.ru/sale/flat/303626073/,15,27,1,36.4,15073421.0,Аминьевская
real_estate_agent,https://www.cian.ru/sale/flat/301952287/,6,24,1,63.0,21800000.0,Крылатское
real_estate_agent,https://www.cian.ru/sale/flat/306360252/,22,33,1,71.3,26024500.0,Юго-Западная
developer,https://www.cian.ru/sale/flat/307992860/,18,24,1,50.3,23434770.0,Сокольники
real_estate_agent,https://www.cian.ru/sale/flat/307396074/,10,12,1,34.9,11900000.0,Измайловская
real_estate_agent,https://www.cian.ru/sale/flat/308947279/,18,33,1,70.3,25970000.0,Юго-Западная
developer,https://www.cian.ru/sale/flat/308462320/,13,15,1,49.5,43599600.0,Тульская
realtor,https://www.cian.ru/sale/flat/305869716/,14,29,1,42.3,21000000.0,Кунцевская
real_estate_agent,https://www.cian.ru/sale/flat/304547066/,3,3,1,44.7,8500000.0,Крёкшино
developer,https://www.cian.ru/sale/flat/298379463/,3,3,1,35.6,6443600.0,
real_estate_agent,https://www.cian.ru/sale/flat/280729658/,6,9,1,42.5,6500000.0,Крёкшино
real_estate_agent,https://www.cian.ru/sale/flat/280800172/,6,7,1,43.14,6500000.0,Крёкшино
developer,https://www.cian.ru/sale/flat/309185826/,13,14,1,34.61,6504119.0,Щербинка
developer,https://www.cian.ru/sale/flat/293999214/,2,3,1,35.8,6515600.0,Апрелевка
developer,https://www.cian.ru/sale/flat/309188394/,4,12,1,34.0,6567959.0,Рассказовка
developer,https://www.cian.ru/sale/flat/306775083/,2,7,1,32.9,6550390.0,Нахабино
developer,https://www.cian.ru/sale/flat/301203142/,2,3,1,35.6,6550400.0,
developer,https://www.cian.ru/sale/flat/309188236/,12,14,1,32.87,6647004.0,Рассказовка
developer,https://www.cian.ru/sale/flat/306745457/,4,9,1,32.5,6744144.0,Толстопальцево
developer,https://www.cian.ru/sale/flat/309190782/,22,30,1,23.72,6718518.0,Орехово
developer,https://www.cian.ru/sale/flat/309194971/,12,23,1,32.11,6713382.0,Летово
developer,https://www.cian.ru/sale/flat/309197667/,1,9,1,36.23,6747548.0,Силикатная
developer,https://www.cian.ru/sale/flat/309197753/,6,9,1,34.98,6721057.0,Силикатная
developer,https://www.cian.ru/sale/flat/309197755/,9,9,1,35.64,6681752.0,Силикатная
developer,https://www.cian.ru/sale/flat/309187979/,12,17,1,36.71,6681423.0,Филатов Луг
developer,https://www.cian.ru/sale/flat/297846869/,2,3,1,36.5,6679500.0,
developer,https://www.cian.ru/sale/flat/309195271/,16,17,1,36.34,6750465.0,Филатов Луг
developer,https://www.cian.ru/sale/flat/309195265/,15,17,1,33.77,6787533.0,Филатов Луг
developer,https://www.cian.ru/sale/flat/309195264/,15,17,1,33.46,6798369.0,Филатов Луг
developer,https://www.cian.ru/sale/flat/309195403/,11,16,1,32.7,6791071.0,Филатов Луг
developer,https://www.cian.ru/sale/flat/309188072/,11,17,1,32.26,6784734.0,Филатов Луг
real_estate_agent,https://www.cian.ru/sale/flat/298111008/,1,2,1,12.5,6875000.0,Курская
developer,https://www.cian.ru/sale/flat/309190781/,8,16,1,23.27,6869549.0,Орехово
developer,https://www.cian.ru/sale/flat/297846878/,1,3,1,39.2,6860000.0,Апрелевка
developer,https://www.cian.ru/sale/flat/309197697/,9,9,1,36.46,6803618.0,Силикатная
developer,https://www.cian.ru/sale/flat/309188235/,9,14,1,34.6,6812628.0,Рассказовка
developer,https://www.cian.ru/sale/flat/309185820/,10,14,1,37.22,6909744.0,Щербинка
developer,https://www.cian.ru/sale/flat/309186476/,1,5,1,34.63,6920373.0,Рассказовка
developer,https://www.cian.ru/sale/flat/309194970/,10,12,1,34.67,6932449.0,Летово
developer,https://www.cian.ru/sale/flat/309197696/,6,7,1,40.79,6942876.0,Силикатная
developer,https://www.cian.ru/sale/flat/309188393/,14,14,1,32.25,6910594.0,Рассказовка
developer,https://www.cian.ru/sale/flat/309194968/,13,16,1,34.2,6947866.0,Летово
developer,https://www.cian.ru/sale/flat/297846922/,1,3,1,39.6,6930000.0,Апрелевка
developer,https://www.cian.ru/sale/flat/309195255/,12,17,1,35.43,6971455.0,Филатов Луг
developer,https://www.cian.ru/sale/flat/309186391/,12,14,1,38.37,7084014.0,Щербинка
developer,https://www.cian.ru/sale/flat/309193577/,2,16,1,34.62,7077774.0,Новоподрезково
developer,https://www.cian.ru/sale/flat/309187975/,16,17,1,35.83,7021139.0,Филатов Луг
developer,https://www.cian.ru/sale/flat/293999166/,1,3,1,39.2,7016800.0,Апрелевка
developer,https://www.cian.ru/sale/flat/309197663/,4,9,1,38.27,7094952.0,Силикатная
developer,https://www.cian.ru/sale/flat/309197750/,7,12,1,33.73,7045725.0,Силикатная
developer,https://www.cian.ru/sale/flat/309197664/,6,9,1,34.74,7069693.0,Силикатная
developer,https://www.cian.ru/sale/flat/309194966/,2,10,1,31.03,7060339.0,Летово
developer,https://www.cian.ru/sale/flat/306775080/,2,7,1,36.6,7085760.0,Нахабино
developer,https://www.cian.ru/sale/flat/297846865/,3,3,1,40.7,7041100.0,
developer,https://www.cian.ru/sale/flat/309186388/,6,14,1,35.81,7145456.0,Щербинка
developer,https://www.cian.ru/sale/flat/309197749/,1,9,1,40.79,7118141.0,Силикатная
developer,https://www.cian.ru/sale/flat/309188391/,1,14,1,34.88,7103451.0,Рассказовка
developer,https://www.cian.ru/sale/flat/308079455/,2,11,1,32.3,7140270.0,Щербинка
developer,https://www.cian.ru/sale/flat/306775098/,3,7,1,36.2,7127780.0,Нахабино
developer,https://www.cian.ru/sale/flat/301203146/,2,3,1,40.5,7128000.0,
developer,https://www.cian.ru/sale/flat/306969447/,2,11,1,30.9,7195744.0,Щербинка
developer,https://www.cian.ru/sale/flat/309186386/,8,14,1,39.01,7221717.0,Щербинка
developer,https://www.cian.ru/sale/flat/309185639/,2,12,1,34.64,7248108.0,Щербинка
developer,https://www.cian.ru/sale/flat/309186700/,10,10,1,38.79,7233094.0,Рассказовка
developer,https://www.cian.ru/sale/flat/309186620/,9,9,1,34.27,7233334.0,Рассказовка
developer,https://www.cian.ru/sale/flat/309193595/,14,14,1,35.83,7236227.0,Новоподрезково
developer,https://www.cian.ru/sale/flat/301203205/,1,3,1,40.9,7198400.0,
developer,https://www.cian.ru/sale/flat/309193376/,16,16,1,35.83,7264014.0,Новоподрезково
developer,https://www.cian.ru/sale/flat/306969637/,2,11,1,32.5,7290269.0,Щербинка
developer,https://www.cian.ru/sale/flat/293999185/,1,3,1,40.8,7262400.0,Апрелевка
developer,https://www.cian.ru/sale/flat/309197743/,2,9,1,38.38,7257044.0,Силикатная
developer,https://www.cian.ru/sale/flat/309194745/,13,16,1,21.1,7253948.0,Ольховая
developer,https://www.cian.ru/sale/flat/309187972/,14,17,1,34.1,7252558.0,Филатов Луг
developer,https://www.cian.ru/sale/flat/309186376/,2,14,1,36.51,7308462.0,Щербинка
developer,https://www.cian.ru/sale/flat/309194958/,12,23,1,32.74,7343915.0,Летово
developer,https://www.cian.ru/sale/flat/309193592/,12,16,1,32.37,7331587.0,Новоподрезково
developer,https://www.cian.ru/sale/flat/306969594/,2,11,1,34.2,7312199.0,Щербинка
